,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,22833,"Echavarria, Nico",0.76,0.05,0.00,0.90,23.17,-0.03,314.00,0.71,0.07,0.00,0.95,30.03,0.03,421.00,0.84,0.04,0.00,0.90,19.85,-0.07,93.00,0.32,0.04,0.00,0.95,72.37,-0.04,114.00,0.50,0.06,0.00,0.93,45.53,0.01,204.00,0.52,0.11,0.00,0.94,36.12,0.02,127
,26653,"Eckroat, Austin",0.81,0.06,0.00,0.94,22.94,0.00,315.00,0.68,0.05,0.00,0.96,29.73,0.03,477.00,0.81,0.12,0.00,0.85,20.47,-0.02,103.00,0.35,0.07,0.00,0.91,61.69,-0.03,117.00,0.46,0.06,0.00,0.96,45.58,0.01,256.00,0.61,0.07,0.00,0.93,37.05,0.02,129
,23048,"Stanger, Jimmy",0.68,0.04,0.00,0.96,24.29,-0.06,56.00,0.65,0.10,0.00,0.94,31.54,0.03,72.00,0.82,0.05,0.00,0.96,16.44,0.00,22.00,0.50,0.08,0.00,1.00,51.93,0.08,26.00,0.39,0.06,1.00,0.94,51.77,-0.06,34.00,0.58,0.00,0.00,0.92,43.27,-0.12,37
,25601,"Jordan, Matthew",,,,,,,,0.69,0.08,1.00,0.94,31.29,0.03,53.00,,,,,,,,,,,,,,,,,,,,,,0.76,0.08,1.00,1.00,28.27,0.12,12
,27819,"Castillo, Ricky",0.83,0.12,0.00,0.97,21.18,0.04,59.00,0.71,0.07,0.00,0.98,31.37,0.03,91.00,0.81,0.14,0.00,0.93,17.80,0.00,28.00,0.35,0.10,0.00,1.00,73.67,0.03,31.00,0.42,0.00,0.00,0.96,46.21,-0.04,49.00,0.76,0.07,0.00,0.97,38.90,0.09,31
,28158,"Bennett, Sam",,,,,,,,0.72,0.02,1.00,0.96,31.31,0.03,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16243,"Koepka, Brooks",0.74,0.07,1.00,0.98,22.72,-0.04,43.00,0.68,0.07,0.00,0.97,28.17,0.03,94.00,0.81,0.05,0.00,0.95,14.72,0.04,20.00,0.34,0.04,0.00,0.89,61.71,-0.10,28.00,0.53,0.07,0.00,0.95,45.44,0.04,62.00,0.64,0.16,0.00,0.96,38.64,0.04,25
,13872,"Bradley, Keegan",0.83,0.09,0.00,0.95,20.02,0.03,341.00,0.69,0.06,0.00,0.97,28.64,0.03,494.00,0.93,0.11,0.00,0.99,14.54,0.08,107.00,0.36,0.08,0.00,0.97,62.97,0.04,125.00,0.47,0.07,0.00,0.97,46.98,0.01,231.00,0.62,0.06,0.00,0.94,36.24,0.03,150
,15004,"Kim, Chan",0.80,0.08,0.00,0.92,22.83,0.01,309.00,0.69,0.06,0.00,0.95,31.16,0.03,447.00,0.88,0.09,0.00,0.94,19.64,0.00,79.00,0.40,0.08,0.00,0.98,62.14,0.06,119.00,0.50,0.07,0.00,0.97,49.50,-0.01,201.00,0.60,0.07,0.00,0.94,38.24,0.02,148
,15651,"Ventura, Kris",0.77,0.03,0.00,0.92,24.86,-0.06,92.00,0.72,0.07,0.00,0.95,29.70,0.03,147.00,0.89,0.07,0.00,0.97,18.53,-0.02,31.00,0.40,0.02,0.00,0.89,66.60,-0.06,47.00,0.50,0.05,0.00,0.95,52.48,0.00,75.00,0.63,0.11,0.00,1.00,31.14,0.07,37
,13900,"Lowry, Shane",0.82,0.05,0.00,0.95,20.03,0.03,298.00,0.71,0.07,0.00,0.95,29.84,0.02,413.00,0.93,0.12,0.00,0.98,13.84,0.09,106.00,0.36,0.06,0.00,0.98,61.17,0.04,121.00,0.54,0.10,0.00,0.95,44.78,0.05,222.00,0.61,0.09,0.00,0.95,35.12,0.07,109
