,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,19729,"Kanaya, Takumi",0,Farmers Insurance Open,,,,47917,1,10,2026-01-29 10:27,2026-01-30 9:10,,,0
,21889,"Kang, Jeffrey",0,Farmers Insurance Open,,,1,47393,1,1,2026-01-29 9:54,2026-01-30 11:00,,,0
,32457,"Keefer, Johnny",0,Farmers Insurance Open,,,1,63454,1,1,2026-01-29 10:05,2026-01-30 11:11,,,0
,21688,"Kim, S.H.",0,Farmers Insurance Open,,,,50188,1,1,2026-01-29 10:27,2026-01-30 9:21,,,0
,14609,"Kim, Si Woo",0,Farmers Insurance Open,,,1,37455,1,1,2026-01-29 9:21,2026-01-30 10:27,,,0
,24766,"Kim, Tom",0,Farmers Insurance Open,,,,55182,1,10,2026-01-29 10:38,2026-01-30 9:21,,,0
,19396,"Knapp, Jake",0,Farmers Insurance Open,,,1,47420,1,1,2026-01-29 9:32,2026-01-30 10:38,,,0
,16243,"Koepka, Brooks",0,Farmers Insurance Open,,,1,36689,1,1,2026-01-29 9:32,2026-01-30 10:38,,,0
,6169,"Kuchar, Matt",0,Farmers Insurance Open,,,1,23108,1,1,2026-01-29 9:43,2026-01-30 10:49,,,0
,24343,"Lamprecht, Christo",0,Farmers Insurance Open,,,1,54422,1,10,2026-01-29 9:54,2026-01-30 11:00,,,0
,21943,"Lebioda, Hank",0,Farmers Insurance Open,,,1,49766,1,10,2026-01-29 9:54,2026-01-30 11:00,,,0
,16162,"Lee, S.T.",0,Farmers Insurance Open,,,1,36529,1,1,2026-01-29 10:05,2026-01-30 11:11,,,0
,15310,"Li, Haotong",0,Farmers Insurance Open,,,1,35296,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
,15980,"Lipsky, David",0,Farmers Insurance Open,,,,36326,1,1,2026-01-29 10:27,2026-01-30 9:21,,,0
,7960,"List, Luke",0,Farmers Insurance Open,,,,27129,1,10,2026-01-29 10:16,2026-01-30 9:10,,,0
,31866,"Logan, Hunter",0,Farmers Insurance Open,,,,63806,1,10,2026-01-29 10:16,2026-01-30 11:22,,,0
